beta,k,likelihood
0.2326530612244898,0.07408163265306122,6.8957394673915285e-12
0.2326530612244898,0.07612244897959185,5.161879530102611e-12
0.2326530612244898,0.07816326530612246,3.671456887894983e-12
0.2326530612244898,0.08020408163265307,2.4779615502450827e-12
0.2326530612244898,0.08224489795918369,1.5847413337689448e-12
0.2326530612244898,0.0842857142857143,9.588943448978232e-13
0.2326530612244898,0.0863265306122449,5.480621161905512e-13
0.2326530612244898,0.08836734693877552,2.953855512680685e-13
0.2326530612244898,0.09040816326530612,1.4985005445517826e-13
0.2326530612244898,0.09244897959183675,7.141553524886708e-14
0.2326530612244898,0.09448979591836736,3.19085294074606e-14
0.2326530612244898,0.09653061224489796,1.3336981945591926e-14
0.2326530612244898,0.09857142857142859,5.2029468855413105e-15
0.2326530612244898,0.1006122448979592,1.8898630302756463e-15
0.2326530612244898,0.1026530612244898,6.375138270807273e-16
0.2326530612244898,0.10469387755102041,1.9918426363224837e-16
0.2326530612244898,0.10673469387755102,5.747647495956576e-17
0.2326530612244898,0.10877551020408165,1.527183572025511e-17
0.2326530612244898,0.11081632653061226,3.7246397521126154e-18
0.2326530612244898,0.11285714285714286,8.3103922539266615e-19
0.2326530612244898,0.11489795918367349,1.6903548004161182e-19
0.2326530612244898,0.1169387755102041,3.1228217016044153e-20
0.2326530612244898,0.1189795918367347,5.219612750408728e-21
0.2326530612244898,0.12102040816326531,7.860871158302788e-22
0.2326530612244898,0.12306122448979592,1.0621114883991238e-22
0.2326530612244898,0.12510204081632653,1.2816332681677618e-23
0.2326530612244898,0.12714285714285717,1.3745967274028112e-24
0.2326530612244898,0.12918367346938775,1.3038253898542943e-25
0.2326530612244898,0.1312244897959184,1.0879183785519383e-26
0.2326530612244898,0.133265306122449,7.941190135944939e-28
0.2326530612244898,0.1353061224489796,5.0412710796570484e-29
0.2326530612244898,0.1373469387755102,2.766170036330241e-30
0.2326530612244898,0.13938775510204082,1.3034086941064704e-31
0.2326530612244898,0.14142857142857146,5.238122560775262e-33
0.2326530612244898,0.14346938775510204,1.7825357623577913e-34
0.2326530612244898,0.14551020408163268,5.097744307277674e-36
0.2326530612244898,0.14755102040816329,1.2154343464159687e-37
0.2326530612244898,0.1495918367346939,2.395808183303117e-39
0.2326530612244898,0.1516326530612245,3.8699045179289446e-41
0.2326530612244898,0.1536734693877551,5.07496912690669e-43
0.2326530612244898,0.15571428571428572,5.3504977649656387e-45
0.2326530612244898,0.15775510204081633,4.488476312835266e-47
0.2326530612244898,0.15979591836734697,2.963637578865066e-49
0.2326530612244898,0.16183673469387755,1.522642680366613e-51
0.2326530612244898,0.16387755102040819,6.014185088510303e-54
0.2326530612244898,0.1659183673469388,1.8031823949867445e-56
0.2326530612244898,0.1679591836734694,4.049189431046536e-59
0.2326530612244898,0.17,6.714755954390739e-62
0.2489795918367347,0.07,3.104371190065156e-10
0.2489795918367347,0.07204081632653062,2.8192171331829134e-10
0.2489795918367347,0.07408163265306122,2.443424653222864e-10
0.2489795918367347,0.07612244897959185,2.0190013925397002e-10
0.2489795918367347,0.07816326530612246,1.5887570173071183e-10
0.2489795918367347,0.08020408163265307,1.1891609595902239e-10
0.2489795918367347,0.08224489795918369,8.455264102992502e-11
0.2489795918367347,0.0842857142857143,5.7032033640879156e-11
0.2489795918367347,0.0863265306122449,3.643987097324876e-11
0.2489795918367347,0.08836734693877552,2.2020142857896378e-11
0.2489795918367347,0.09040816326530612,1.2563890956546854e-11
0.2489795918367347,0.09244897959183675,6.756456464616537e-12
0.2489795918367347,0.09448979591836736,3.4181223559398686e-12
0.2489795918367347,0.09653061224489796,1.6235438420488917e-12
0.2489795918367347,0.09857142857142859,7.224889916210282e-13
0.2489795918367347,0.1006122448979592,3.005516266366456e-13
